match_id,team_id,player_id,player_name_raw,minute,minute_raw,card_type_raw,card_type_label,is_second_yellow,source_url,scraped_at
1573547,2212,10192346,"CORRAL GARCÍA, DARÍO",58,58,100,amarilla,False,https://www.rffm.es/acta-partido/1573547,2026-08-07T03:24:22.196787+00:00
1573547,1747,8043659,"LILLO SANCHEZ, IGNACIO",39,39,100,amarilla,False,https://www.rffm.es/acta-partido/1573547,2026-08-07T03:24:22.196787+00:00
1573544,378276,8339318,"CODINA MARTINEZ, LUCCA",30,30,100,amarilla,False,https://www.rffm.es/acta-partido/1573544,2026-08-07T03:24:22.570723+00:00
1573546,680430,9775766,"GARCIA ARRONIZ, MARCOS",13,13,100,amarilla,False,https://www.rffm.es/acta-partido/1573546,2026-08-07T03:24:22.843572+00:00
1573549,65,8536696,"ROBLES MIDOUNE, DARIO",32,32,100,amarilla,False,https://www.rffm.es/acta-partido/1573549,2026-08-07T03:24:22.947893+00:00
1573549,65,8123543,"REY ESCOBAR, PABLO",49,49,100,amarilla,False,https://www.rffm.es/acta-partido/1573549,2026-08-07T03:24:22.947893+00:00
1573549,65,8452625,"JIMENEZ GOMEZ, ISMAEL",59,59,100,amarilla,False,https://www.rffm.es/acta-partido/1573549,2026-08-07T03:24:22.947893+00:00
1573549,576,10085278,"ALONSO SANCHEZ, JULIO",22,22,100,amarilla,False,https://www.rffm.es/acta-partido/1573549,2026-08-07T03:24:22.947893+00:00
1573558,65,13151750,"OLIVER REY, IGNACIO",40,40,100,amarilla,False,https://www.rffm.es/acta-partido/1573558,2026-08-07T03:24:22.958759+00:00
1573558,65,9756185,"ARANDA MANSILLA, AITOR",52,52,100,amarilla,False,https://www.rffm.es/acta-partido/1573558,2026-08-07T03:24:22.958759+00:00
1573558,65,7774207,"GARGOLES JIMENEZ, ALEJANDRO",55,55,100,amarilla,False,https://www.rffm.es/acta-partido/1573558,2026-08-07T03:24:22.958759+00:00
1573555,1747,9925497,"MIRANDA GIL, CARLOS",39,39,100,amarilla,False,https://www.rffm.es/acta-partido/1573555,2026-08-07T03:24:23.542685+00:00
1573555,2137,11334641,"BLANCO SILVESTRE, ARITZ",33,33,100,amarilla,False,https://www.rffm.es/acta-partido/1573555,2026-08-07T03:24:23.542685+00:00
1573556,1571,10071484,"MUÑOZ RODRIGUEZ, IZAN",50,50,100,amarilla,False,https://www.rffm.es/acta-partido/1573556,2026-08-07T03:24:23.547611+00:00
1573564,2212,10193635,"CARRASCO GIRALDO, BRUNO",8,8,100,amarilla,False,https://www.rffm.es/acta-partido/1573564,2026-08-07T03:24:23.562720+00:00
1573552,1606,8425441,"POPA, ERIK STEFAN",55,55,100,amarilla,False,https://www.rffm.es/acta-partido/1573552,2026-08-07T03:24:23.684811+00:00
1573552,1606,8052744,"ROJO GONZALEZ, MARCOS",60,60,100,amarilla,False,https://www.rffm.es/acta-partido/1573552,2026-08-07T03:24:23.684811+00:00
1573552,102,8032516,"FERNANDEZ GARCIA, AARON",29,29,100,amarilla,False,https://www.rffm.es/acta-partido/1573552,2026-08-07T03:24:23.684811+00:00
