match_id,team_id,player_id,player_name_raw,minute,minute_raw,goal_type_raw,source_url,scraped_at
5137859,1791.0,403040,"ALMENDROS RUBIO, ADRIAN",34,34,100,https://www.rffm.es/acta-partido/5137859,2026-08-05T16:35:17.580482+00:00
5137859,1791.0,318305,"ROMERO MOLINA, ADRIAN",44,44,100,https://www.rffm.es/acta-partido/5137859,2026-08-05T16:35:17.580482+00:00
5137855,2594.0,7091596,"RIO MARTINEZ, EDUARDO",28,28,100,https://www.rffm.es/acta-partido/5137855,2026-08-05T16:35:17.799847+00:00
5137855,2594.0,127039,"JIMENEZ DE MINGO, ANGEL",59,59,101,https://www.rffm.es/acta-partido/5137855,2026-08-05T16:35:17.799847+00:00
5137855,2594.0,803748,"EL HADDAD, BASSIM",65,65,100,https://www.rffm.es/acta-partido/5137855,2026-08-05T16:35:17.799847+00:00
5137855,424.0,7530010,"AYUCH, DAVID NICOLAS",52,52,100,https://www.rffm.es/acta-partido/5137855,2026-08-05T16:35:17.799847+00:00
5137855,424.0,1008468,"ALVARO GALINDO, RAUL",89,89,100,https://www.rffm.es/acta-partido/5137855,2026-08-05T16:35:17.799847+00:00
5137853,2594.0,897346,"MADANGI AZAGRA, SAMUEL",65,65,100,https://www.rffm.es/acta-partido/5137853,2026-08-05T16:35:17.852635+00:00
5137857,596.0,649022,"BARRERA JIMENEZ, SERGIO",41,41,100,https://www.rffm.es/acta-partido/5137857,2026-08-05T16:35:17.863367+00:00
5137857,596.0,931166,"VELTAN, CATALIN",87,87,100,https://www.rffm.es/acta-partido/5137857,2026-08-05T16:35:17.863367+00:00
5137852,424.0,13836803,"YANG, JAE WOO",74,74,100,https://www.rffm.es/acta-partido/5137852,2026-08-05T16:35:17.869687+00:00
5137860,623.0,746835,"CARRILLO GOMEZ, ALVARO",15,15,100,https://www.rffm.es/acta-partido/5137860,2026-08-05T16:35:17.898862+00:00
5137858,117.0,192778,"SPASOV, GEORGI NIKOLAEV",34,34,100,https://www.rffm.es/acta-partido/5137858,2026-08-05T16:35:18.016832+00:00
5137858,117.0,951138,"MORENO CASTELA, ROBERTO",37,37,100,https://www.rffm.es/acta-partido/5137858,2026-08-05T16:35:18.016832+00:00
5137858,117.0,789647,"GARCIA VAQUERO, PABLO",68,68,100,https://www.rffm.es/acta-partido/5137858,2026-08-05T16:35:18.016832+00:00
5137858,117.0,194703,"DIAZ GONZABAY, ROBERTO CARLOS",87,87,100,https://www.rffm.es/acta-partido/5137858,2026-08-05T16:35:18.016832+00:00
5137858,117.0,238955,"TORRENOVA RODRIGUEZ, RUBEN",89,89,100,https://www.rffm.es/acta-partido/5137858,2026-08-05T16:35:18.016832+00:00
5137858,596.0,2767289,"SANZ HURTADO, LUIS MIGUEL",28,28,100,https://www.rffm.es/acta-partido/5137858,2026-08-05T16:35:18.016832+00:00
5137858,596.0,315548,"SANTA ELENA LOPEZ PLAZA, ALFREDO",75,75,100,https://www.rffm.es/acta-partido/5137858,2026-08-05T16:35:18.016832+00:00
5137865,1791.0,13718390,"FUENTES CARRETERO, MIGUEL",11,11,100,https://www.rffm.es/acta-partido/5137865,2026-08-05T16:35:18.267092+00:00
5137865,1791.0,231634,"SALMERON SUAREZ, JESUS",74,74,100,https://www.rffm.es/acta-partido/5137865,2026-08-05T16:35:18.267092+00:00
5137865,623.0,1187022,"RODRIGUEZ SANCHEZ, DAVID",13,13,100,https://www.rffm.es/acta-partido/5137865,2026-08-05T16:35:18.267092+00:00
5137865,623.0,791139,"ROMERO AGUILERA, RAUL",30,30,100,https://www.rffm.es/acta-partido/5137865,2026-08-05T16:35:18.267092+00:00
5325944,623.0,582907,"MARTIN PEREZ, IZAN",36,36,100,https://www.rffm.es/acta-partido/5325944,2026-08-05T16:35:18.631916+00:00
5325944,623.0,582907,"MARTIN PEREZ, IZAN",63,63,100,https://www.rffm.es/acta-partido/5325944,2026-08-05T16:35:18.631916+00:00
5325943,1395.0,237508,"ARAGON MUÑOZ, ALEJANDRO",8,8,100,https://www.rffm.es/acta-partido/5325943,2026-08-05T16:35:18.632522+00:00
5325943,1395.0,19548394,"TRAVAGLINI, JUAN CRUZ",93,93,100,https://www.rffm.es/acta-partido/5325943,2026-08-05T16:35:18.632522+00:00
5325943,3349086.0,1111166,"CABALLERO LEBRÓN, ALEJANDRO",20,20,101,https://www.rffm.es/acta-partido/5325943,2026-08-05T16:35:18.632522+00:00
5327111,1395.0,306556,"ALVAREZ MARTINEZ, JAIME",2,2,100,https://www.rffm.es/acta-partido/5327111,2026-08-05T16:35:18.637711+00:00
5194205,1791.0,13718390,"FUENTES CARRETERO, MIGUEL",44,44,100,https://www.rffm.es/acta-partido/5194205,2026-08-05T16:35:18.710366+00:00
5194205,1791.0,238154,"DOUTERELO DE LA CONCEPCION, SERGIO",50,50,100,https://www.rffm.es/acta-partido/5194205,2026-08-05T16:35:18.710366+00:00
5194205,1791.0,321068,"MUELAS SANCHEZ, MIGUEL ANGEL",73,73,100,https://www.rffm.es/acta-partido/5194205,2026-08-05T16:35:18.710366+00:00
5137863,1791.0,231634,"SALMERON SUAREZ, JESUS",67,67,100,https://www.rffm.es/acta-partido/5137863,2026-08-05T16:35:18.845378+00:00
5137863,1791.0,13718390,"FUENTES CARRETERO, MIGUEL",72,72,100,https://www.rffm.es/acta-partido/5137863,2026-08-05T16:35:18.845378+00:00
5137863,1791.0,329841,"GARCIA POVEDA, MANUEL",87,87,101,https://www.rffm.es/acta-partido/5137863,2026-08-05T16:35:18.845378+00:00
5137863,6817352.0,969828,"AYUSO SERRA, JAIME",61,61,100,https://www.rffm.es/acta-partido/5137863,2026-08-05T16:35:18.845378+00:00
5137863,6817352.0,420506,"ANTON GARCIA, IVAN",73,73,100,https://www.rffm.es/acta-partido/5137863,2026-08-05T16:35:18.845378+00:00
5137862,6817352.0,318575,"ESTEBAN ROMERO, JAVIER",47,47,100,https://www.rffm.es/acta-partido/5137862,2026-08-05T16:35:18.961805+00:00
5137862,6817352.0,21684436,"REINA SANCHEZ, JUAN EDUARDO",77,77,100,https://www.rffm.es/acta-partido/5137862,2026-08-05T16:35:18.961805+00:00
5137862,6817352.0,21684436,"REINA SANCHEZ, JUAN EDUARDO",89,89,100,https://www.rffm.es/acta-partido/5137862,2026-08-05T16:35:18.961805+00:00
5137862,10657139.0,1201677,"KEITA TANGARA, ADAMA",29,29,100,https://www.rffm.es/acta-partido/5137862,2026-08-05T16:35:18.961805+00:00
5137862,10657139.0,1201677,"KEITA TANGARA, ADAMA",44,44,100,https://www.rffm.es/acta-partido/5137862,2026-08-05T16:35:18.961805+00:00
5137862,10657139.0,89420,"OLIVA PRIETO, DANIEL",86,86,100,https://www.rffm.es/acta-partido/5137862,2026-08-05T16:35:18.961805+00:00
5137862,10657139.0,162488,"LOPEZ MARTIN, AGUSTIN",89,89,100,https://www.rffm.es/acta-partido/5137862,2026-08-05T16:35:18.961805+00:00
5137864,10657139.0,734999,"ÁLVAREZ DE LARA CASELAS, VÍCTOR",89,89,100,https://www.rffm.es/acta-partido/5137864,2026-08-05T16:35:19.327379+00:00
5137864,623.0,17257257,"DIOP, MOHAMED",16,16,100,https://www.rffm.es/acta-partido/5137864,2026-08-05T16:35:19.327379+00:00
5141897,119.0,772100,"PEDROSA SÁNCHEZ, DANIEL",41,41,100,https://www.rffm.es/acta-partido/5141897,2026-08-05T16:35:19.842472+00:00
5141899,193.0,404725,"RIVAS LLANOS, RAUL",10,10,100,https://www.rffm.es/acta-partido/5141899,2026-08-05T16:35:20.112588+00:00
5141899,193.0,404725,"RIVAS LLANOS, RAUL",50,50,100,https://www.rffm.es/acta-partido/5141899,2026-08-05T16:35:20.112588+00:00
5141899,193.0,973305,"SANZ ROMERO, MARCOS",76,76,100,https://www.rffm.es/acta-partido/5141899,2026-08-05T16:35:20.112588+00:00
5141892,408.0,792520,"DE ORO LORENZO, JACOBO",18,18,100,https://www.rffm.es/acta-partido/5141892,2026-08-05T16:35:20.123698+00:00
5141892,408.0,1169560,"RAMIREZ CAPON, ALVARO",50,50,100,https://www.rffm.es/acta-partido/5141892,2026-08-05T16:35:20.123698+00:00
5141892,408.0,792520,"DE ORO LORENZO, JACOBO",58,58,100,https://www.rffm.es/acta-partido/5141892,2026-08-05T16:35:20.123698+00:00
5141892,408.0,792520,"DE ORO LORENZO, JACOBO",80,80,100,https://www.rffm.es/acta-partido/5141892,2026-08-05T16:35:20.123698+00:00
5141892,623.0,791139,"ROMERO AGUILERA, RAUL",35,35,100,https://www.rffm.es/acta-partido/5141892,2026-08-05T16:35:20.123698+00:00
5141891,526441.0,1147327,"MUNERA ZAPATA, JUAN PABLO",6,6,100,https://www.rffm.es/acta-partido/5141891,2026-08-05T16:35:20.397945+00:00
5141894,2594.0,803748,"EL HADDAD, BASSIM",42,42,100,https://www.rffm.es/acta-partido/5141894,2026-08-05T16:35:20.403886+00:00
5141894,2594.0,917772,"JIMENEZ BELZUZ, HUGO",53,53,100,https://www.rffm.es/acta-partido/5141894,2026-08-05T16:35:20.403886+00:00
5141893,989.0,1106795,"BARHOUN, MOHAMMED SAID",47,47,100,https://www.rffm.es/acta-partido/5141893,2026-08-05T16:35:20.503503+00:00
5141893,989.0,1106795,"BARHOUN, MOHAMMED SAID",80,80,100,https://www.rffm.es/acta-partido/5141893,2026-08-05T16:35:20.503503+00:00
5141898,466770.0,926008,"SANTOS NEVADO, RUBÉN",37,37,102,https://www.rffm.es/acta-partido/5141898,2026-08-05T16:35:20.627153+00:00
5141898,1311.0,78283,"JIMENEZ AVILA, CHRISTIAN",59,59,100,https://www.rffm.es/acta-partido/5141898,2026-08-05T16:35:20.627153+00:00
5141896,1032104.0,16921123,"BUSTOS BELFIGLIO, LAUTARO ABRAHAN EZEQUIEL",25,25,100,https://www.rffm.es/acta-partido/5141896,2026-08-05T16:35:20.641564+00:00
5141896,1032104.0,399320,"CUBAS NAVAJO, DAVID",55,55,100,https://www.rffm.es/acta-partido/5141896,2026-08-05T16:35:20.641564+00:00
5141896,1032104.0,399320,"CUBAS NAVAJO, DAVID",62,62,100,https://www.rffm.es/acta-partido/5141896,2026-08-05T16:35:20.641564+00:00
5141896,2749.0,733300,"RUA JIMENEZ, HECTOR",60,60,100,https://www.rffm.es/acta-partido/5141896,2026-08-05T16:35:20.641564+00:00
5141901,2364.0,421959,"DE PAZ BLAZQUEZ, ERIC",21,21,100,https://www.rffm.es/acta-partido/5141901,2026-08-05T16:35:21.233316+00:00
5141901,2364.0,790392,"GAMONAL PEREZ, DANIEL",74,74,100,https://www.rffm.es/acta-partido/5141901,2026-08-05T16:35:21.233316+00:00
5141904,685.0,557865,"MEDINA SANCHEZ, ADRIAN",33,33,100,https://www.rffm.es/acta-partido/5141904,2026-08-05T16:35:21.237488+00:00
5141904,2594.0,127039,"JIMENEZ DE MINGO, ANGEL",31,31,100,https://www.rffm.es/acta-partido/5141904,2026-08-05T16:35:21.237488+00:00
5141902,2728977.0,21935231,"EMBE HESSEMB, FRANCK ERIC",19,19,100,https://www.rffm.es/acta-partido/5141902,2026-08-05T16:35:21.292944+00:00
5141902,2728977.0,21935231,"EMBE HESSEMB, FRANCK ERIC",57,57,100,https://www.rffm.es/acta-partido/5141902,2026-08-05T16:35:21.292944+00:00
5141902,408.0,3030014,"GARCIA NCHAMA, AXEL LUCAS",1,1,100,https://www.rffm.es/acta-partido/5141902,2026-08-05T16:35:21.292944+00:00
5141902,408.0,792520,"DE ORO LORENZO, JACOBO",4,4,100,https://www.rffm.es/acta-partido/5141902,2026-08-05T16:35:21.292944+00:00
5141902,408.0,983241,"TALLON ELENA, MARCOS",13,13,100,https://www.rffm.es/acta-partido/5141902,2026-08-05T16:35:21.292944+00:00
5141902,408.0,792520,"DE ORO LORENZO, JACOBO",41,41,100,https://www.rffm.es/acta-partido/5141902,2026-08-05T16:35:21.292944+00:00
5141907,1311.0,181178,"GARCIA RODRIGUEZ, DAVID",8,8,100,https://www.rffm.es/acta-partido/5141907,2026-08-05T16:35:21.298301+00:00
5141907,3349086.0,20718492,"FALL LAGO, DJIBRIL THIENDELA",54,54,100,https://www.rffm.es/acta-partido/5141907,2026-08-05T16:35:21.298301+00:00
5141907,3349086.0,242172,"GUIRADO GARCIA, AITOR",75,75,100,https://www.rffm.es/acta-partido/5141907,2026-08-05T16:35:21.298301+00:00
5141908,193.0,231700,"ROLDAN CANO, DIEGO",15,15,100,https://www.rffm.es/acta-partido/5141908,2026-08-05T16:35:21.614220+00:00
5141908,193.0,229199,"PORRERO ORTIZ, MIGUEL ANGEL",77,77,100,https://www.rffm.es/acta-partido/5141908,2026-08-05T16:35:21.614220+00:00
5141900,526441.0,2428140,"HERNANDEZ NUÑEZ, IVAN",52,52,100,https://www.rffm.es/acta-partido/5141900,2026-08-05T16:35:21.674685+00:00
5141900,526441.0,6265904,"YELA USAOLA, JOSE MARÍA",87,87,100,https://www.rffm.es/acta-partido/5141900,2026-08-05T16:35:21.674685+00:00
